epoch,step,name,value
1,1,loss,4.743749618530273
1,2,loss,3.8936314582824707
1,3,loss,4.353127479553223
1,4,loss,4.861947059631348
1,5,loss,4.44367790222168
1,6,loss,4.255167007446289
1,7,loss,4.398035049438477
1,8,loss,4.4710540771484375
1,9,loss,3.6511058807373047
1,10,loss,3.547192096710205
1,11,loss,3.499359369277954
2,1,loss,4.339061737060547
2,2,loss,3.8898544311523438
2,3,loss,4.18764066696167
2,4,loss,4.0749921798706055
2,5,loss,3.7112154960632324
2,6,loss,3.2156708240509033
2,7,loss,3.524897575378418
2,8,loss,3.990757465362549
2,9,loss,3.5249009132385254
2,10,loss,4.819997310638428
2,11,loss,3.510683059692383
3,1,loss,3.4676311016082764
3,2,loss,3.793084144592285
3,3,loss,3.6435842514038086
3,4,loss,4.80987548828125
3,5,loss,3.521311044692993
3,6,loss,3.631178379058838
3,7,loss,3.7001843452453613
3,8,loss,3.5211732387542725
3,9,loss,3.690223455429077
3,10,loss,4.085080146789551
3,11,loss,3.17183780670166
4,1,loss,3.3341031074523926
4,2,loss,3.432263135910034
4,3,loss,3.4397947788238525
4,4,loss,3.6154637336730957
4,5,loss,2.8686084747314453
4,6,loss,3.449930191040039
4,7,loss,3.0049853324890137
4,8,loss,4.464607238769531
4,9,loss,3.5007550716400146
4,10,loss,3.7099709510803223
4,11,loss,3.148456335067749
5,1,loss,3.2520313262939453
5,2,loss,3.6404707431793213
5,3,loss,2.927668809890747
5,4,loss,2.972254991531372
5,5,loss,3.3461368083953857
5,6,loss,2.814785957336426
5,7,loss,2.7450060844421387
5,8,loss,2.9226391315460205
5,9,loss,3.123805284500122
5,10,loss,3.101963520050049
5,11,loss,3.003434658050537
6,1,loss,2.7770466804504395
6,2,loss,2.9804623126983643
6,3,loss,3.154508113861084
6,4,loss,3.661034107208252
6,5,loss,2.401453733444214
6,6,loss,3.173017740249634
6,7,loss,2.6624176502227783
6,8,loss,2.607966661453247
6,9,loss,2.9470181465148926
6,10,loss,3.108149528503418
6,11,loss,3.300413131713867
7,1,loss,3.0012435913085938
7,2,loss,3.151620864868164
7,3,loss,2.8953332901000977
7,4,loss,2.945208787918091
7,5,loss,2.8332715034484863
7,6,loss,2.768160820007324
7,7,loss,2.688034772872925
7,8,loss,2.975945472717285
7,9,loss,2.840439796447754
7,10,loss,2.46146297454834
7,11,loss,2.290914535522461
8,1,loss,2.391143560409546
8,2,loss,2.546304702758789
8,3,loss,2.7327497005462646
8,4,loss,2.7534444332122803
8,5,loss,3.508391857147217
8,6,loss,3.31306791305542
8,7,loss,3.5352096557617188
8,8,loss,3.3020777702331543
8,9,loss,2.2718915939331055
8,10,loss,2.7404074668884277
8,11,loss,2.6094894409179688
9,1,loss,2.397860050201416
9,2,loss,2.3211910724639893
9,3,loss,2.8089218139648438
9,4,loss,3.1151204109191895
9,5,loss,3.099076271057129
9,6,loss,3.0058088302612305
9,7,loss,2.902498245239258
9,8,loss,2.9042978286743164
9,9,loss,3.3202857971191406
9,10,loss,2.420092821121216
9,11,loss,3.3191003799438477
10,1,loss,2.9932000637054443
10,2,loss,2.6206021308898926
10,3,loss,2.915360450744629
10,4,loss,2.7954390048980713
10,5,loss,2.5671863555908203
10,6,loss,2.620713233947754
10,7,loss,2.421442985534668
10,8,loss,2.7583229541778564
10,9,loss,2.8953800201416016
10,10,loss,2.6770877838134766
10,11,loss,2.911655902862549
